Start date,Start time,End time,Subject
24/08/2020,9:10 AM,10:20 AM,testing3
25/08/2020,1:50 PM,3:00 PM,testing4
3/09/2020,9:10 AM,10:20 AM,testing3
4/09/2020,1:50 PM,3:00 PM,testing4
15/09/2020,9:10 AM,10:20 AM,testing3
16/09/2020,1:50 PM,3:00 PM,testing4
28/09/2020,9:10 AM,10:20 AM,testing3
29/09/2020,1:50 PM,3:00 PM,testing4
12/10/2020,9:10 AM,10:20 AM,testing3
13/10/2020,1:50 PM,3:00 PM,testing4
30/10/2020,9:10 AM,10:20 AM,testing3
2/11/2020,1:50 PM,3:00 PM,testing4
11/11/2020,9:10 AM,10:20 AM,testing3
12/11/2020,1:50 PM,3:00 PM,testing4
26/11/2020,9:10 AM,10:20 AM,testing3
27/11/2020,1:50 PM,3:00 PM,testing4
8/12/2020,9:10 AM,10:20 AM,testing3
9/12/2020,1:50 PM,3:00 PM,testing4
18/12/2020,9:10 AM,10:20 AM,testing3
21/12/2020,1:50 PM,3:00 PM,testing4
30/12/2020,9:10 AM,10:20 AM,testing3
31/12/2020,1:50 PM,3:00 PM,testing4
11/01/2021,9:10 AM,10:20 AM,testing3
12/01/2021,1:50 PM,3:00 PM,testing4
21/01/2021,9:10 AM,10:20 AM,testing3
22/01/2021,1:50 PM,3:00 PM,testing4
2/02/2021,9:10 AM,10:20 AM,testing3
3/02/2021,1:50 PM,3:00 PM,testing4
12/02/2021,9:10 AM,10:20 AM,testing3
15/02/2021,1:50 PM,3:00 PM,testing4
24/02/2021,9:10 AM,10:20 AM,testing3
25/02/2021,1:50 PM,3:00 PM,testing4
8/03/2021,9:10 AM,10:20 AM,testing3
9/03/2021,1:50 PM,3:00 PM,testing4
18/03/2021,9:10 AM,10:20 AM,testing3
19/03/2021,1:50 PM,3:00 PM,testing4
30/03/2021,9:10 AM,10:20 AM,testing3
31/03/2021,1:50 PM,3:00 PM,testing4
9/04/2021,9:10 AM,10:20 AM,testing3
12/04/2021,1:50 PM,3:00 PM,testing4
21/04/2021,9:10 AM,10:20 AM,testing3
22/04/2021,1:50 PM,3:00 PM,testing4
3/05/2021,9:10 AM,10:20 AM,testing3
4/05/2021,1:50 PM,3:00 PM,testing4
13/05/2021,9:10 AM,10:20 AM,testing3
14/05/2021,1:50 PM,3:00 PM,testing4
25/05/2021,9:10 AM,10:20 AM,testing3
26/05/2021,1:50 PM,3:00 PM,testing4
4/06/2021,9:10 AM,10:20 AM,testing3
7/06/2021,1:50 PM,3:00 PM,testing4
16/06/2021,9:10 AM,10:20 AM,testing3
17/06/2021,1:50 PM,3:00 PM,testing4
28/06/2021,9:10 AM,10:20 AM,testing3
29/06/2021,1:50 PM,3:00 PM,testing4
